Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
pipedream,9924,2025-06-05,2020-01-22,https://github.com/PipedreamHQ/pipedream,5343,3894,JavaScript,Other,"Connect APIs, remarkably fast.  Free for developers.","apis,automation,bash,cli,data-flow,event-sourcing,eventsourcing,golang,integration-flow,integrations,ipaas,low-code,low-code-development-platform,nodejs,python,serverless,typescript,workflow,workflows"
h5-Dooring,9734,2025-05-14,2020-08-22,https://github.com/MrXujiang/h5-Dooring,1802,33,JavaScript,GNU General Public License v3.0,"H5 Page Maker, H5 Editor, LowCode. Make H5 as easy as building blocks. | 让H5制作像搭积木一样简单, 轻松搭建H5页面, H5网站, PC端网站,LowCode平台.","antd,drag-and-drop,h5,h5-builder,h5-dooring,h5-editor,javascript,low-code,low-code-framework,low-code-platform,lowcode,miniprogram,page-builder,page-factory,react,react-dnd,react-router,site-generator,typescript,visual-design"
xgo,9203,2025-06-04,2015-12-12,https://github.com/goplus/xgo,556,40,Go,Apache License 2.0,XGo is the first AI-native programming language that integrates software engineering into a unified whole. Our vision is to enable everyone to become a builder of the world.,"ai-native,data-science,golang,goplus,low-code,programming-language,scientific-computing,stem,stem-education,xgo"
automatisch,8889,2025-06-05,2021-09-30,https://github.com/automatisch/automatisch,676,292,JavaScript,Other,The open source Zapier alternative. Build workflow automation without spending time and money.,"automation,automatisch,low-code,no-code,open-source,self-hosted,workflow"
frappe,8530,2025-06-05,2011-06-08,https://github.com/frappe/frappe,3912,2201,Python,MIT License,"Low code web framework for real world applications, in Python and Javascript","cms,email,erpnext,frappe,full-stack,javascript,low-code,mariadb,multitenant,postgres,python,rest-api,security,socket-io,web-framework,webhooks"
VvvebJs,7692,2025-05-03,2017-10-11,https://github.com/givanz/VvvebJs,1727,254,JavaScript,Apache License 2.0,Drag and drop page builder library written in vanilla javascript without dependencies or build tools.,"bootstrap,bootstrap5,builder,drag-and-drop,editor,free,javascript,low-code,no-code,nocode,nodejs,open-source,page-builder,scss,site-generator,ui,vanilla-javascript,website-builder,website-generation,wysiwyg"
rowy,6641,2024-11-23,2019-09-05,https://github.com/rowyio/rowy,531,72,TypeScript,Other,"Low-code backend platform. Manage database on spreadsheet-like UI and build cloud functions workflows in JS/TS, all in your browser.","airtable,airtable-alternative,backend,cloud-functions,cloudfunctions,cms,cms-backend,firebase,firestore,gcp,google-cloud,internal-tools,low-code,lowcode,no-code,nocode,react,spreadsheet,typescript"
dgiot,5183,2025-04-10,2021-02-23,https://github.com/dgiot/dgiot,1173,264,Erlang,Apache License 2.0,"Open source platform for iot , 6 min Quick Deployment,10M devices connection,Carrier level Stability;物联网开源平台,6分钟快速部署,千万级承载,电信级稳定性. Low code for Object model-Rule Engine-Data Channel-Configuration Page","dgiot,industrial-iot,iot,iot-platform,iot-server,modbus,modbus-protocol,modbus-tcp,mqtt,mqtt-broker,mqtt-server,opc,opc-server,plc,plc-controller"
flowgram.ai,4839,2025-06-05,2025-02-17,https://github.com/bytedance/flowgram.ai,341,30,TypeScript,MIT License,FlowGram is a node-based flow building engine that helps developers quickly create workflows in either fixed layout or free connection layout modes,
PraisonAI,4721,2025-06-05,2024-03-19,https://github.com/MervinPraison/PraisonAI,656,18,Python,MIT License,"PraisonAI is a production-ready Multi AI Agents framework, designed to create AI Agents to automate and solve problems ranging from simple tasks to complex challenges. It provides a low-code solution ",
prest,4358,2025-04-29,2016-11-22,https://github.com/prest/prest,294,141,Go,MIT License,"PostgreSQL ➕ REST, low-code, simplify and accelerate development, ⚡ instant, realtime, high-performance on any Postgres application, existing or new","automatic-api,database,databases,go,golang,hacktoberfest,low-code,postgres,postgresql,prest,rest,rest-api"
sim,3908,2025-06-05,2025-01-05,https://github.com/simstudioai/sim,581,25,TypeScript,Apache License 2.0,"Sim Studio is an open-source AI agent workflow builder. Sim Studio's interface is a lightweight, intuitive way to quickly build and deploy LLMs that connect with your favorite tools.",
Power-Fx,3277,2025-06-04,2021-02-23,https://github.com/microsoft/Power-Fx,341,336,C#,MIT License,Power Fx low-code programming language,"power-fx,powerfx"
vizro,2931,2025-06-05,2023-09-04,https://github.com/mckinsey/vizro,169,49,Python,Apache License 2.0,Vizro is a low-code toolkit for building high-quality data visualization apps.,
graphic-walker,2858,2025-06-03,2022-09-27,https://github.com/Kanaries/graphic-walker,149,21,TypeScript,Apache License 2.0,An open source alternative to Tableau. Embeddable visual analytic,
baserow,2697,2025-06-05,2020-07-20,https://github.com/bram2w/baserow,346,29,Python,Other,The official repository is hosted on https://gitlab.com/bramw/baserow. Baserow is an open source no-code database tool and Airtable alternative.,"airtable,airtable-alternative,airtable-replacement,database,low-code,no-code,no-code-database,online-database,postgresql,restful-api,self-hosted,spreadsheet"
erupt,2603,2025-06-04,2020-09-15,https://github.com/erupts/erupt,488,9,Java,Apache License 2.0, ✨ Erupt Engine: Java Annotation-Driven Low-Code + AI Base Framework. Build Enterprise Apps Fast & Efficiently.,"admin,angular,annotation,erupt,erupt-cloud,java,jpa,linq,spring,springboot,upms"
alan-sdk-web,2408,2025-06-04,2019-10-23,https://github.com/alan-ai/alan-sdk-web,94,37,,No license,The Self-Coding System for Your App — Alan AI SDK for Web,"ai,ai-assistant,ai-chat,ai-chat-bot,conversational-ai,custom-dataset,enterprise,explainable-ai,generative-ai,large-language-models,llms,low-code,machine-learning,nlp,productivity,question-answering,text-ai,voice-ai,voice-ai-platform,workflow"
tiny-engine,2398,2025-06-05,2023-09-18,https://github.com/opentiny/tiny-engine,389,109,Vue,MIT License,TinyEngine is a low-code engine based on which you can build or develop low-code platforms in different domains/TinyEngine是一个低代码引擎，基于这个引擎可以构建或者开发出不同领域的低代码平台,
tango,2336,2024-09-10,2023-08-24,https://github.com/NetEase/tango,222,38,TypeScript,MIT License,"A code driven low-code builder, develop low-code app on your codebase.",
component-library,2311,2024-10-31,2018-05-21,https://github.com/claimed-framework/component-library,4021,16,Jupyter Notebook,Apache License 2.0,The goal of CLAIMED is to enable low-code/no-code rapid prototyping style programming to seamlessly CI/CD into production. ,"data-science,machine-learning"
sponge,1869,2025-05-20,2022-09-19,https://github.com/go-dev-frame/sponge,187,29,Go,MIT License,"A powerful and easy-to-use Go development framework that enables you to effortlessly build high-performance, highly available backend service systems through a ""low-code"" approach.",
corteza,1805,2025-06-05,2019-05-21,https://github.com/cortezaproject/corteza,437,212,Go,Apache License 2.0,Low-code platform,"go,golang,javascript,low-code,typescipt,vuejs"
toolpad,1625,2025-06-05,2021-11-15,https://github.com/mui/toolpad,391,365,TypeScript,MIT License,Toolpad: Full stack components and low-code builder for dashboards and internal apps.,"admin-dashboard,admin-panel,components,crud,internal-tools,low-code,low-code-framework,react,reactjs,self-hosted,toolpad,typescript,web-development-tools"
sunmao-ui,1420,2025-03-11,2021-06-15,https://github.com/smartxworks/sunmao-ui,98,31,TypeScript,Apache License 2.0,A Framework for Developing Low-code Tool,"appsmith,framework,low-code,retool"
Awesome-CVPR2025-CVPR2024-CVPR2021-CVPR2020-Low-Level-Vision,1355,2025-04-30,2020-06-19,https://github.com/Kobaayyy/Awesome-CVPR2025-CVPR2024-CVPR2021-CVPR2020-Low-Level-Vision,145,1,,No license,A Collection of Papers and Codes for CVPR2025/CVPR2024/CVPR2021/CVPR2020 Low Level Vision,"c-v-p-r,computer-vision,cvpr2020,cvpr2021,cvpr2024,cvpr2025,frame-interpolation,image-compression,image-deblurring,image-dehazing,image-demoireing,image-denoising,image-deraining,image-enhancement,image-processing,image-quality-assessment,image-reconstruction,image-restoration,low-level-vision,super-resolution"
obsei,1276,2024-10-14,2020-10-25,https://github.com/obsei/obsei,171,35,Python,Apache License 2.0,"Obsei is a low code AI powered automation tool. It can be used in various business flows like social listening, AI based alerting, brand image analysis, comparative study and more .","anonymization,artificial-intelligence,business-process-automation,customer-engagement,customer-support,issue-tracking-system,low-code,lowcode,natural-language-processing,nlp,process-automation,python,sentiment-analysis,social-listening,social-network-analysis,text-analysis,text-analytics,text-classification,workflow,workflow-automation"
badaso,1235,2025-06-05,2021-03-15,https://github.com/uasoft-indonesia/badaso,224,2,PHP,MIT License,"Laravel Vue headless CMS / admin panel / dashboard / builder / API CRUD generator, anything !","api,cms,crud,customizable,dashboard,generator,graphql,headless,laravel,lcpd,low-code,ncpd,no-code,php,pwa,rest,service-worker,spa,vuejs"
rulego,1115,2025-06-04,2023-07-23,https://github.com/rulego/rulego,105,11,Go,Apache License 2.0,"⛓️RuleGo is a lightweight, high-performance, embedded, next-generation component orchestration rule engine framework for Go.",
amphi-etl,1070,2025-05-26,2024-03-20,https://github.com/amphi-ai/amphi-etl,63,126,TypeScript,Other,Visual Data Preparation and Transformation. Low-Code Python-based ETL. ,
studio,1065,2025-04-26,2016-05-17,https://github.com/eez-open/studio,153,230,TypeScript,GNU General Public License v3.0,Cross-platform low-code GUI and automation,"eez-studio,flow-based-programming,instrument-extensions,lvgl,scpi-commands,scpi-instrument"
prompt-poet,1063,2025-05-16,2024-07-17,https://github.com/character-ai/prompt-poet,92,9,Python,MIT License,Streamlines and simplifies prompt design for both developers and non-technical users with a low code approach.,
magic,1006,2025-06-01,2019-03-16,https://github.com/polterguy/magic,143,3,C#,MIT License,An AI-based Low-Code and No-Code software development automation framework,"ai,automation-framework,low-code,machine-learning,no-code,openai"
tribe,1001,2025-01-19,2024-03-24,https://github.com/StreetLamb/tribe,123,3,TypeScript,MIT License,Low code tool to rapidly build and coordinate multi-agent teams,
zato,973,2025-06-05,2011-07-07,https://github.com/zatosource/zato,244,0,Python,GNU Affero General Public License v3.0,"ESB, SOA, REST, APIs and Cloud Integrations in Python","aerospace,airport,api,api-gateway,api-server,automation-framework,defense,enterprise,enterprise-service-bus,esb,fhir,healthcare,hl7,interoperability,ipaas,low-code,orchestration-framework,python,soa,telecommunications"
totum-mit,964,2025-06-02,2019-09-24,https://github.com/totumonline/totum-mit,55,0,PHP,MIT License,"Small-code database for non-programmers. Universal UI, simple-code logic, automatic actions, access rules, logging, API and more. Quickly create a complex internal apps using the database as an interf","crm-platform,database,erp,erp-framework,internal-apps,low-code,low-code-development-platform,php,postgres,postgresql,productivity,small-code"
zerocode,946,2025-06-03,2016-07-05,https://github.com/authorjapps/zerocode,418,117,Java,Apache License 2.0,"zerocode-tdd is a community-developed, free, open-source, automated testing lib for microservices APIs, Kafka(Data Streams), Databases and Load testing. It enables you to create executable automated t","api,api-contract,assertions,automation,automation-framework,consumer,declarative,dsl,framework,http,java,json,kafka,library,low-code,no-code-framework,nocode,soap,testing"
G6VP,876,2024-08-06,2022-05-05,https://github.com/antvis/G6VP,112,82,TypeScript,Apache License 2.0,G6VP is an online visual analysis tool for graphs and a low-code platform for building graph applications.,"business-intelligence,data-visualization,g6,graph,graph-analysis,graph-database,graph-drawing,graph-visualization,graphs,graphviz,knowledge-graph,low-code,neo4j,network,network-visualization,react,typescript,visualization"
flock,866,2025-05-14,2024-09-04,https://github.com/Onelevenvy/flock,102,2,TypeScript,Apache License 2.0,"Flock is a workflow-based low-code platform for rapidly building chatbots, RAG, and coordinating multi-agent teams, powered by LangGraph, Langchain, FastAPI, and NextJS.（Flock 是一个基于workflow工作流的低代码平台，用",
openops,818,2025-06-05,2025-03-09,https://github.com/openops-cloud/openops,118,24,TypeScript,Other,"The batteries-included, No-Code FinOps automation platform, with the AI you trust.",
motor-admin-rails,803,2025-03-09,2021-03-04,https://github.com/motor-admin/motor-admin-rails,81,25,Ruby,MIT License,"Low-code Admin panel and Business intelligence Rails engine. No DSL - configurable from the UI. Rails Admin, Active Admin, Blazer modern alternative.","admin,admin-dashboard,business-intelligence,charts,crud,low-code,rails,sql"
structr,801,2025-06-05,2011-02-01,https://github.com/structr/structr,157,24,Java,GNU General Public License v3.0,Structr is an integrated low-code development and runtime environment that uses a graph database.,"backend,backend-framework,data-modeling,frontend-framework,full-stack,graalvm,graph,graph-database,graphql,low-code,low-code-development-platform,open-api,platform-as-a-service,polyglot-programming,productivity,productivity-tools,schema-design,software-as-a-service,web-application-framework,web-development"
builder,731,2025-06-04,2023-01-10,https://github.com/frappe/builder,226,62,Vue,GNU Affero General Public License v3.0,Craft beautiful websites effortlessly with an intuitive visual builder and publish them instantly,
nussknacker,691,2025-06-05,2017-06-29,https://github.com/TouK/nussknacker,99,101,Scala,Apache License 2.0,Low-code tool for automating actions on real time data | Stream processing for the users.,"apache-flink,automation,big-data,data-streaming,decision-engine,decision-making,decisioning,flink,flink-kafka,gui,kafka,low-code,lowcode,real-time,rules-engine,scala,stream-processing,streaming,touk"
v6.dooring.public,659,2024-12-22,2021-03-08,https://github.com/MrXujiang/v6.dooring.public,152,3,TypeScript,GNU General Public License v3.0,"可视化大屏解决方案, 提供一套可视化编辑引擎, 助力个人或企业轻松定制自己的可视化大屏应用.","antv,big-data,big-data-analytics,bigdata,dooring,low-code,lowcode,nodejs,react,webgl2"
app-platform,620,2025-06-05,2025-03-31,https://github.com/ModelEngine-Group/app-platform,114,60,Java,MIT License,AppPlatform 是一个前沿的大模型应用工程，旨在通过集成的声明式编程和低代码配置工具，简化和优化大模型的训练与推理应用的开发过程。本工程为软件工程师和产品经理提供一个强大的、可扩展的环境，以支持从概念到部署的全流程 AI 应用开发。,"ai,java,low-code"
