Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
n8n,196971,2026-07-18,2019-06-22,https://github.com/n8n-io/n8n,59446,1388,TypeScript,Other,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation"
dify,149259,2026-07-18,2023-04-12,https://github.com/langgenius/dify,23515,1062,TypeScript,Other,Production-ready platform for agentic workflow development.,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow"
taste-skill,64934,2026-07-18,2026-02-19,https://github.com/Leonxlnx/taste-skill,4479,49,JavaScript,MIT License,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop ","agent,ai,claude,claude-code,codex,coding,design,frontend,lowcode,nocode,skill,skills,vibecoding"
nocodb,64101,2026-07-18,2017-10-29,https://github.com/nocodb/nocodb,4930,678,TypeScript,Other,🔥 🔥 🔥 A Free & Self-hostable Airtable Alternative,"airtable,airtable-alternative,automatic-api,hacktoberfest,low-code,no-code,no-code-database,no-code-platform,postgresql,rest-api,restful-api,spreadsheet,sqlite,swagger"
Flowise,54723,2026-07-17,2023-03-31,https://github.com/FlowiseAI/Flowise,24728,1006,TypeScript,Other,"Build AI Agents, Visually","agentic-ai,agentic-workflow,agents,artificial-intelligence,chatbot,chatgpt,javascript,langchain,large-language-models,low-code,multiagent-systems,no-code,openai,rag,react,typescript,workflow-automation"
appsmith,40392,2026-07-18,2020-06-30,https://github.com/appsmithorg/appsmith,4665,4477,TypeScript,Apache License 2.0,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.","admin-dashboard,admin-panels,app-builder,automation,crud,custom-internal,developer-tools,gui,gui-application,hacktoberfest,internal-tools,java,javascript,low-code,low-code-framework,react,self-hosted,typescript,webdevelopment,workflows"
ToolJet,38229,2026-07-17,2021-03-30,https://github.com/ToolJet/ToolJet,5174,1032,JavaScript,GNU Affero General Public License v3.0,"ToolJet is the open-source foundation of ToolJet AI - the enterprise app generation platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀","ai-app-builder,docker,hacktoberfest,internal-applications,internal-project,internal-tool,internal-tools,javascript,kubernetes,low-code,low-code-development-platform,low-code-framework,no-code,nodejs,reactjs,self-hosted,typescript,web-development-tools,workflow-automation"
refine,35332,2026-06-05,2021-01-20,https://github.com/refinedev/refine,3163,61,TypeScript,MIT License,"A React Framework for building  internal tools, admin panels, dashboards & B2B apps with unmatched flexibility.","admin,admin-ui,ant-design,crud,developer-tools,frontend-framework,good-first-issue,graphql,hacktoberfest,headless,internal-tools,javascript,low-code,nestjs,nextjs,open-source-project,react,react-framework,react-hooks,typescript"
sim,29141,2026-07-18,2025-01-05,https://github.com/simstudioai/sim,3714,236,TypeScript,Apache License 2.0,"Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.","agent-workflow,agentic-workflow,agents,ai,aiagents,anthropic,artificial-intelligence,automation,chatbot,deepseek,gemini,low-code,nextjs,no-code,openai,rag,react,typescript"
budibase,28130,2026-07-17,2019-06-07,https://github.com/Budibase/budibase,2179,239,TypeScript,Other,"AI agents, automations and apps that run your operations. Model agnostic.","ai-app-builder,ai-applications,crud-app,crud-application,data-application,data-apps,internal-tools,it-workflows,low-code,low-code-no-code,low-code-platform,no-code,no-code-platform,open-source,rest-api-framework,sql-gui,workflow-apps,workflow-automation,workflow-engine"
kestra,27379,2026-07-17,2019-08-24,https://github.com/kestra-io/kestra,2734,562,Java,Apache License 2.0,Event Driven Orchestration & Scheduling Platform for Mission Critical Applications,"ai-agents,automation,control-plane,data-engineering,data-orchestration,data-orchestrator,devops,etl,hacktoberfest,high-availability,infra-automation,infra-ops,infrastructure-as-code,java,low-code,orchestration,pipeline,pipeline-as-code,scheduler,workflow"
onlook,26221,2026-07-09,2024-06-25,https://github.com/onlook-dev/onlook,2042,374,TypeScript,Apache License 2.0,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI","ai,cursor,cursor-ai,design,design-to-code,drizzle,editor,figma,frontend,ide,low-code,nextjs,react,supabase,tailwindcss,typescript,ui,vibe-coding,vibecoding"
node-red,23428,2026-07-13,2013-09-05,https://github.com/node-red/node-red,3873,313,JavaScript,Apache License 2.0,Low-code programming for event-driven applications,"flow-based-programming,javascript,low-code,node-red,openjs-foundation,visual-programming"
nocobase,23373,2026-07-18,2020-10-24,https://github.com/nocobase/nocobase,2779,267,TypeScript,Other,"NocoBase is an open-source AI + no-code platform for building business systems fast. Instead of generating everything from scratch, AI works on top of production-proven infrastructure and a WYSIWYG no-code interface, so you get both speed and reliability.","admin-dashboard,ai-agent,ai-agents,ai-assistant,ai-tools,airtable,crm,crud,erp,internal-tool,internal-tools,low-code,lowcode,no-code,nocode,project-management,salesforce,self-hosted,workflows"
teable,21505,2026-07-18,2022-11-01,https://github.com/teableio/teable,1300,131,TypeScript,Other,✨ AI Spreadsheet for Business,"ai-agent,airtable,airtable-alternative,app-builder,database,internal-tool,low-code,no-code,postgres,postgresql,sandbox,spreadsheet"
easy-vibe,18308,2026-07-06,2025-12-28,https://github.com/datawhalechina/easy-vibe,1747,15,JavaScript,No license,💻 vibe coding 2026 | Your First Modern Coding course beginners to master step by step.,"agent,ai,coding,course,deepseek,gemini,genai,gpt,llm,low-code,mcp,nextjs,no-code,openai,programming,tutorial,vibe-coding,vibecoding,vscode,workflow"
windmill,17182,2026-07-18,2022-05-05,https://github.com/windmill-labs/windmill,1035,792,Rust,Other,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.","low-code,open-source,platform,postgresql,python,self-hostable,typescript"
amplication,16017,2026-06-30,2020-05-10,https://github.com/amplication/amplication,1548,662,TypeScript,Other,"Amplication brings order to the chaos of large-scale software development by creating Golden Paths for developers - streamlined workflows that drive consistency, enable high-quality code practices, simplify onboarding, and accelerate standardized delivery across teams.","api,code-generation,csharp,csharp-code,dotnet,dotnet-core,graphql,hacktoberfest,javascript,low-code,nestjs,nodejs,prisma,typescript,web"
apitable,15418,2025-10-30,2022-08-17,https://github.com/apitable/apitable,1411,305,TypeScript,GNU Affero General Public License v3.0,"🚀🎉📚 APITable, an API-oriented low-code platform for building collaborative apps and better than all other Airtable open-source alternatives. ","admin-dashboard,airtable,airtable-alternative,api,automatic-api,embed,hacktoberfest,internal-tool,javascript,low-code,nestjs,nextjs,no-code,nocodb,notion,react,spreadsheet,spring,typescript"
dolphinscheduler,14378,2026-07-17,2019-03-01,https://github.com/apache/dolphinscheduler,5059,121,Java,Apache License 2.0,Apache DolphinScheduler is the modern data orchestration platform. Agile to create high performance workflow with low-code,"airflow,azkaban,cloud-native,data-pipelines,job-scheduler,orchestration,powerful-data-pipelines,task-scheduler,workflow,workflow-orchestration,workflow-schedule"
automatisch,13888,2026-02-11,2021-09-30,https://github.com/automatisch/automatisch,1058,283,JavaScript,Other,The open source Zapier alternative. Build workflow automation without spending time and money.,"automation,automatisch,low-code,no-code,open-source,self-hosted,workflow"
illa-builder,12293,2026-05-27,2022-04-18,https://github.com/illacloud/illa-builder,1207,42,TypeScript,Apache License 2.0,"Low-code platform allows you to build business apps, enables you to quickly create internal tools such as dashboard, crud app, admin panel, crm, cms, etc. Supports PostgreSQL, MySQL, Supabase, GraphQL, MongoDB, MSSQL, Rest API, Hugging Face, Redis, etc. Automate workflows with schedule or webhook. Open source Retool. ","aiagent,app-builder,crud-application,developer-tool,developer-tools,gui,hacktoberfest,internal-development,internal-tool,internal-tools,low-code,low-code-development-platform,lowcode,react,self-hosted,typescript"
ludwig,11739,2026-07-13,2018-12-27,https://github.com/ludwig-ai/ludwig,1216,1,Python,Apache License 2.0,"Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision,data-centric,data-science,deep,deep-learning,deeplearning,fine-tuning,learning,llama,llama2,llm,llm-training,machine-learning,machinelearning,mistral,ml,natural-language,natural-language-processing,neural-network,pytorch"
pipedream,11555,2026-07-18,2020-01-22,https://github.com/PipedreamHQ/pipedream,5729,4428,JavaScript,Other,"Connect APIs, remarkably fast.  Free for developers.","apis,automation,bash,cli,data-flow,event-sourcing,eventsourcing,golang,integration-flow,integrations,ipaas,low-code,low-code-development-platform,nodejs,python,serverless,typescript,workflow,workflows"
frappe,10450,2026-07-18,2011-06-08,https://github.com/frappe/frappe,5122,2327,Python,MIT License,"Low code web framework for real world applications, in Python and Javascript","cms,email,erpnext,frappe,full-stack,javascript,low-code,mariadb,multitenant,postgres,python,rest-api,security,socket-io,web-framework,webhooks"
h5-Dooring,9960,2026-03-22,2020-08-22,https://github.com/MrXujiang/h5-Dooring,1831,39,JavaScript,GNU General Public License v3.0,"H5 Page Maker, H5 Editor, LowCode. Make H5 as easy as building blocks. | 让H5制作像搭积木一样简单, 轻松搭建H5页面, H5网站, PC端网站,LowCode平台.","antd,drag-and-drop,h5,h5-builder,h5-dooring,h5-editor,javascript,low-code,low-code-framework,low-code-platform,lowcode,miniprogram,page-builder,page-factory,react,react-dnd,react-router,site-generator,typescript,visual-design"
xgo,9438,2026-07-17,2015-12-12,https://github.com/goplus/xgo,565,50,Go,Apache License 2.0,"XGo is a programming language that reads like plain English. But it's also incredibly powerful — it lets you leverage assets from C/C++, Go, Python, and JavaScript/TypeScript, creating a unified software engineering ecosystem. Our vision is to enable everyone to become a builder of the world.","ai-native,data-science,golang,goplus,low-code,programming-language,scientific-computing,stem,stem-education,xgo"
astron-agent,8973,2026-07-10,2025-09-19,https://github.com/iflytek/astron-agent,864,33,Java,Apache License 2.0,"Enterprise-grade, commercial-friendly agentic workflow platform for building next-generation SuperAgents.","agent,agentic-ai,agentic-workflow,ai,enterprise,enterprise-automation,iflytek-astron,llm,llm-ops,low-code,mcp,multi-agent,next-gen,orchestration,python,rpa,superagent,workflow,workflow-engine"
VvvebJs,8562,2026-07-01,2017-10-11,https://github.com/givanz/VvvebJs,1828,303,JavaScript,Apache License 2.0,Drag and drop page builder library written in vanilla javascript without dependencies or build tools.,"bootstrap,bootstrap5,builder,drag-and-drop,editor,free,javascript,low-code,no-code,nocode,nodejs,open-source,page-builder,scss,site-generator,ui,vanilla-javascript,website-builder,website-generation,wysiwyg"
plasmic,6923,2026-07-17,2021-02-02,https://github.com/plasmicapp/plasmic,699,43,TypeScript,MIT License,"Visual builder for React. Build apps, websites, and content. Integrate with your codebase.","builder,cms,design,design-systems,design-tools,drag-drop,frontend,gatsby,headless,headless-cms,jamstack,lowcode,nextjs,nocode,page-builder,react,ui-builder,wysiwyg"
UltraRAG,5652,2026-07-18,2025-01-16,https://github.com/OpenBMB/UltraRAG,434,25,Python,Apache License 2.0,A Low-Code MCP Framework for Building Complex and Innovative RAG Pipelines,"deepseek,demo,easy,embedding,flask,gpt,huggingface-transformers,llm,mcp,multimodal,openai,qwen,rag,sentence-transformers,ui,vllm,vlm"
astron-rpa,5538,2026-07-10,2025-09-20,https://github.com/iflytek/astron-rpa,585,44,Java,Apache License 2.0,Agent-ready RPA suite with out-of-the-box automation tools. Built for individuals and enterprises.,"agent,ai,astron,automation,data-privacy,enterprise,iflytek-astron,llm,low-code,mcp,no-code,on-premise,python,rpa,security-compliance,self-hosted"
baserow,5362,2026-07-18,2020-07-20,https://github.com/baserow/baserow,665,1179,Python,Other,"Build databases, automations, apps & agents with AI — no code.  Open source platform available on cloud and self-hosted. GDPR, HIPAA, SOC 2 compliant. Best Airtable alternative.","airtable,airtable-alternative,airtable-replacement,application-builder,automations,dashboards,database,low-code,no-code,no-code-database,no-code-platform,online-database,postgresql,restful-api,self-hosted,spreadsheet"
blocks,5089,2026-07-16,2019-04-12,https://github.com/blocks/blocks,327,66,JavaScript,MIT License,A JSX-based page builder for creating beautiful websites without writing code,"jsx,lowcode,mdx,nocode,react,visual-editor,wysiwyg"
magic,4930,2026-06-11,2025-05-14,https://github.com/dtyq/magic,540,10,TypeScript,Other,Magicrew. The first open-source all-in-one AI productivity platform (Generalist AI Agent + Workflow Engine + IM + Online collaborative office system),"agent,agi,ai,gpt,llm,low-code,mcp,no-code,sandbox,super-magic,workflow"
prest,4597,2026-07-18,2016-11-22,https://github.com/prest/prest,310,153,Go,MIT License,"PostgreSQL ➕ REST, low-code, simplify and accelerate development, ⚡ instant, realtime, high-performance on any Postgres application, existing or new, MCP server","ai,automatic-api,database,databases,go,golang,hacktoberfest,low-code,mcp-server,multi-db,postgres,postgresql,prest,rest,rest-api"
vizro,3754,2026-07-18,2023-09-04,https://github.com/mckinsey/vizro,287,43,Python,Apache License 2.0,Vizro is a low-code toolkit for building high-quality data visualization apps.,"dashboard,data-visualization,plotly,plotly-dash,pydantic,python,visualization"
Power-Fx,3361,2026-07-18,2021-02-23,https://github.com/microsoft/Power-Fx,357,368,C#,MIT License,Power Fx low-code programming language,"power-fx,powerfx"
graphic-walker,3179,2026-07-12,2022-09-27,https://github.com/Kanaries/graphic-walker,186,52,TypeScript,Apache License 2.0,An open source alternative to Tableau. Embeddable visual analytic,"bi,data,data-analysis,data-mining,data-visualization,eda,k6s,kanaries,low-code,pivot-table,react,tableau,tableau-alternative,typescript,vega,vega-lite,visualization"
