Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
bytechef,745,2026-04-19,2021-09-30,https://github.com/bytechefhq/bytechef,136,530,Java,Other,"Open-source, AI-native, low-code platform for API orchestration, workflow automation, and AI agent integration across internal systems and SaaS products.","ai,ai-agents,api,automation,embedded-ipaas,hacktoberfest,integrations,ipaas,java,llm,low-code,mcp,n8n,no-code,self-hosted,typescript,workato,workflow,workflow-automation,zapier"
nussknacker,718,2026-04-19,2017-06-29,https://github.com/TouK/nussknacker,103,91,Scala,Apache License 2.0,Low-code tool for automating actions on real time data | Stream processing for the users.,"apache-flink,automation,big-data,data-streaming,decision-engine,decision-making,decisioning,flink,flink-kafka,gui,kafka,low-code,lowcode,real-time,rules-engine,scala,stream-processing,streaming,touk"
nop-entropy,682,2026-04-14,2022-08-18,https://github.com/entropy-cloud/nop-entropy,98,1,Java,Apache License 2.0,"Nop Platform 2.0 is a next-generation low-code development platform built from scratch based on the principles of reversible computation, adopting a language-oriented programming paradigm. It includes a suite of fully designed engines such as a GraphQL engine, ORM engine, workflow engine, reporting engine, rule engine, and batch processing engine, ","aigc,amis,graalvm,graphql,java,lowcode,nocode,quarkus,report,report-engine,rule-engine,vue3,workflow"
Implem.Pleasanter,662,2026-04-16,2016-03-27,https://github.com/Implem/Implem.Pleasanter,103,24,C#,GNU Affero General Public License v3.0,Pleasanter is a no-code/low-code development platform that runs on .NET. You can quickly create business applications with simple operations.,
jans,623,2026-04-18,2020-11-03,https://github.com/JanssenProject/jans,169,349,Java,Apache License 2.0,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code identity orchestration, and the Cedarling policy decision point. The ""Janssen Server"" distributions bundle IAM components under one control plane. ","access-management,api,iam,identity,kubernetes,oauth2,openid-connect,security,sso"
LinkedDataHub,616,2026-04-19,2017-01-10,https://github.com/AtomGraph/LinkedDataHub,150,35,XSLT,Apache License 2.0,The low-code Knowledge Graph application platform. Apache license.,"data-driven,data-management,declarative,framework,knowledge-graph,linked-data,linked-open-data,low-code,ontology-driven-development,openid-connect,owl,platform,rdf,semantic-web,sparql,triplestore,webid,xslt"
jw-community,606,2026-03-31,2011-07-01,https://github.com/jogetworkflow/jw-community,230,17,JavaScript,No license,"Joget is an open source no-code/low-code application platform that combines the best of rapid application development, business process automation and workflow management. This Joget open source repository is licensed under GPLv3. For commercial licensing, please visit www.joget.org.","css,hibernate,java,javascript,low-code,no-code,spring"
camel-karavan,580,2026-04-18,2021-10-04,https://github.com/apache/camel-karavan,210,40,TypeScript,Apache License 2.0,Apache Camel Karavan a Low-code Data Integration Platform,"camel,docker,integration,java,kubernetes,low-code,vscode"
goatdb,564,2026-03-24,2024-12-03,https://github.com/goatplatform/goatdb,16,8,TypeScript,MIT License,A peer-to-peer database that spans devices. For apps and agents that work everywhere.,"backend,browser,database,deno,devtools,edge,frontend,local-first,low-code,react,typescript"
r3,557,2026-04-17,2021-09-20,https://github.com/r3-team/r3,82,7,JavaScript,MIT License,REI3 - Free and open low code,"application-builder,business-managment,business-software,business-solutions,free-software,golang,internal-solutions,internal-tools,low-code,lowcode,no-code,nocode,selfhosted,web-development,webdevelopment"
